Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A14006_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003
6037404401,14000US06037404401,Census Tract 4044.01,"Census Tract 4044.01, Los Angeles County, California",ca,140,0,ACSSF,5031,,,,,6,37,,,,404401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3790,6767.322,0.560044294,3790,1825,60,165,130,3,1474,133,48.15,1.58,4.35,3.43,0.08,38.89,3.51,65284,390,122,115,31.28,29.49
6037404402,14000US06037404402,Census Tract 4044.02,"Census Tract 4044.02, Los Angeles County, California",ca,140,0,ACSSF,5032,,,,,6,37,,,,404402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4947,3828.837,1.29203726,4947,2033,188,57,578,23,1795,273,41.1,3.8,1.15,11.68,0.46,36.28,5.52,57965,516,115,123,22.29,23.84
6037404501,14000US06037404501,Census Tract 4045.01,"Census Tract 4045.01, Los Angeles County, California",ca,140,0,ACSSF,5033,,,,,6,37,,,,404501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684,8633.229,0.310891788,2684,929,28,0,130,0,1270,327,34.61,1.04,0,4.84,0,47.32,12.18,52917,277,141,61,50.9,22.02
6037404503,14000US06037404503,Census Tract 4045.03,"Census Tract 4045.03, Los Angeles County, California",ca,140,0,ACSSF,5034,,,,,6,37,,,,404503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721,10730.23,0.253582642,2721,1242,96,14,298,0,867,204,45.64,3.53,0.51,10.95,0,31.86,7.5,64583,173,45,44,26.01,25.43
6037404504,14000US06037404504,Census Tract 4045.04,"Census Tract 4045.04, Los Angeles County, California",ca,140,0,ACSSF,5035,,,,,6,37,,,,404504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4595,17701.91,0.259576492,4595,2030,206,164,324,0,1801,70,44.18,4.48,3.57,7.05,0,39.19,1.52,45927,800,249,267,31.13,33.38
6037404600,14000US06037404600,Census Tract 4046,"Census Tract 4046, Los Angeles County, California",ca,140,0,ACSSF,5036,,,,,6,37,,,,404600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405,159.3351,8.81789182,1405,839,3,5,10,0,496,52,59.72,0.21,0.36,0.71,0,35.3,3.7,59375,105,43,12,40.95,11.43
6037404701,14000US06037404701,Census Tract 4047.01,"Census Tract 4047.01, Los Angeles County, California",ca,140,0,ACSSF,5037,,,,,6,37,,,,404701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5650,9527.78,0.593002748,5650,1949,8,120,1284,0,1903,386,34.5,0.14,2.12,22.73,0,33.68,6.83,64946,512,148,137,28.91,26.76
6037404702,14000US06037404702,Census Tract 4047.02,"Census Tract 4047.02, Los Angeles County, California",ca,140,0,ACSSF,5038,,,,,6,37,,,,404702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5812,13018.53,0.446440678,5812,2721,266,0,1280,0,1105,440,46.82,4.58,0,22.02,0,19.01,7.57,49646,702,192,236,27.35,33.62
6037404703,14000US06037404703,Census Tract 4047.03,"Census Tract 4047.03, Los Angeles County, California",ca,140,0,ACSSF,5039,,,,,6,37,,,,404703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154,6609.427,0.477197192,3154,1495,71,18,428,0,1049,93,47.4,2.25,0.57,13.57,0,33.26,2.95,42500,433,96,206,22.17,47.58
6037404801,14000US06037404801,Census Tract 4048.01,"Census Tract 4048.01, Los Angeles County, California",ca,140,0,ACSSF,5040,,,,,6,37,,,,404801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8226,15290.28,0.537988979,8226,2898,206,5,1804,0,2897,416,35.23,2.5,0.06,21.93,0,35.22,5.06,51625,1005,276,413,27.46,41.09
